Class,OCavg,OCmax,WMC
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641bfbd3d6800b577e5dd9.InputDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641bfbd3d6800b577e5dd9.InterfaceDef,1.5,9,24
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641bfbd3d6800b577e5dd9.InterfaceDef.guestNetType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641bfbd3d6800b577e5dd9.InterfaceDef.hostNicType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641bfbd3d6800b577e5dd9.InterfaceDef.nicModel,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641bfbd3d6800b577e5dd9.SerialDef,2,3,4
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641bfbd3d6800b577e5dd9.TermPolicy,1,1,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641bfbd3d6800b577e5dd9.VirtioSerialDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641c84d3d6800b577e690d,4.04,8,626
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641c84d3d6800b577e690d.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641c84d3d6800b577e690d.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641c84d3d6800b577e690d.vmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641c8cd3d6800b577e69b1,4.1,8,611
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641c8cd3d6800b577e69b1.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641c8cd3d6800b577e69b1.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641c8cd3d6800b577e69b1.vmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641caad3d6800b577e6c54,4.2,14,630
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641caad3d6800b577e6c54.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641caad3d6800b577e6c54.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641caad3d6800b577e6c54.vmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641cc0d3d6800b577e6e23,4.26,14,639
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641cc0d3d6800b577e6e23.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641cc0d3d6800b577e6e23.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641cc0d3d6800b577e6e23.vmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a,1.36,4,15
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.ClockDef,1.75,4,7
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.ClockDef.ClockOffset,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.ConsoleDef,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.CpuTuneDef,1.33,2,4
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.DevicesDef,2,6,12
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.DiskDef,1.71,15,41
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.DiskDef.deviceType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.DiskDef.diskBus,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.DiskDef.diskFmtType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.DiskDef.diskProtocol,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.DiskDef.diskType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.FeaturesDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.FilesystemDef,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.GraphicDef,3.5,6,7
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.GuestDef,1.75,7,14
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.GuestDef.bootOrder,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.GuestDef.guestType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.GuestResourceDef,1.67,5,10
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.InputDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.InterfaceDef,1.48,12,34
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.InterfaceDef.guestNetType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.InterfaceDef.hostNicType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.InterfaceDef.nicModel,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.SerialDef,2,3,4
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.TermPolicy,1,1,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ce6d3d6800b577e714a.VirtioSerialDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641d2fd3d6800b577e76ff,4.34,14,647
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641d2fd3d6800b577e76ff.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641d2fd3d6800b577e76ff.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641d2fd3d6800b577e76ff.vmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641d8bd3d6800b577e7e38,4.34,14,656
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641d8bd3d6800b577e7e38.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641d8bd3d6800b577e7e38.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641d8bd3d6800b577e7e38.vmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641daad3d6800b577e809f,4.32,14,666
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641daad3d6800b577e809f.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641daad3d6800b577e809f.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641daad3d6800b577e809f.vmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5,1.36,4,15
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.ClockDef,1.75,4,7
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.ClockDef.ClockOffset,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.ConsoleDef,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.CpuModeDef,2,4,6
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.CpuTuneDef,1.33,2,4
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.DevicesDef,2,6,12
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.DiskDef,1.71,15,41
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.DiskDef.deviceType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.DiskDef.diskBus,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.DiskDef.diskFmtType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.DiskDef.diskProtocol,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.DiskDef.diskType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.FeaturesDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.FilesystemDef,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.GraphicDef,3.5,6,7
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.GuestDef,1.75,7,14
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.GuestDef.bootOrder,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.GuestDef.guestType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.GuestResourceDef,1.67,5,10
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.InputDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.InterfaceDef,1.48,12,34
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.InterfaceDef.guestNetType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.InterfaceDef.hostNicType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.InterfaceDef.nicModel,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.SerialDef,2,3,4
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.TermPolicy,1,1,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641de9d3d6800b577e85c5.VirtioSerialDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e04d3d6800b577e881a,4.34,14,669
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e04d3d6800b577e881a.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e04d3d6800b577e881a.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e04d3d6800b577e881a.vmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56,1.36,4,15
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.ClockDef,1.75,4,7
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.ClockDef.ClockOffset,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.ConsoleDef,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.CpuModeDef,2,4,6
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.CpuTuneDef,1.33,2,4
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.DevicesDef,2,6,12
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.DiskDef,1.68,15,42
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.DiskDef.deviceType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.DiskDef.diskBus,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.DiskDef.diskCacheMode,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.DiskDef.diskFmtType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.DiskDef.diskProtocol,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.DiskDef.diskType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.FeaturesDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.FilesystemDef,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.GraphicDef,3.5,6,7
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.GuestDef,1.75,7,14
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.GuestDef.bootOrder,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.GuestDef.guestType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.GuestResourceDef,1.67,5,10
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.InputDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.InterfaceDef,1.48,12,34
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.InterfaceDef.guestNetType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.InterfaceDef.hostNicType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.InterfaceDef.nicModel,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.SerialDef,2,3,4
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.TermPolicy,1,1,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e2ad3d6800b577e8b56.VirtioSerialDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e4cd3d6800b577e8e43,4.34,14,669
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e4cd3d6800b577e8e43.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e4cd3d6800b577e8e43.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e4cd3d6800b577e8e43.vmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e,1.36,4,15
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.ClockDef,1.75,4,7
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.ClockDef.ClockOffset,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.ConsoleDef,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.CpuModeDef,2,4,6
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.CpuTuneDef,1.33,2,4
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.DevicesDef,2,6,12
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.DiskDef,1.68,15,42
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.DiskDef.deviceType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.DiskDef.diskBus,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.DiskDef.diskCacheMode,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.DiskDef.diskFmtType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.DiskDef.diskProtocol,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.DiskDef.diskType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.FeaturesDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.FilesystemDef,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.GraphicDef,3.5,6,7
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.GuestDef,1.75,7,14
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.GuestDef.bootOrder,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.GuestDef.guestType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.GuestResourceDef,1.67,5,10
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.InputDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.InterfaceDef,1.48,12,34
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.InterfaceDef.guestNetType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.InterfaceDef.hostNicType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.InterfaceDef.nicModel,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.SerialDef,2,3,4
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.TermPolicy,1,1,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641e94d3d6800b577e943e.VirtioSerialDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ea0d3d6800b577e9552,4.29,14,695
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ea0d3d6800b577e9552.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ea0d3d6800b577e9552.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ea0d3d6800b577e9552.vmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ea1d3d6800b577e9581,4.29,14,695
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ea1d3d6800b577e9581.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ea1d3d6800b577e9581.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641ea1d3d6800b577e9581.VmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641f86d3d6800b577ea8f8,4.29,22,30
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641f91d3d6800b577ea9c6,4.22,14,696
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641f91d3d6800b577ea9c6.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641f91d3d6800b577ea9c6.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641f91d3d6800b577ea9c6.VmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641fe5d3d6800b577eb0f6,4.29,14,721
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641fe5d3d6800b577eb0f6.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641fe5d3d6800b577eb0f6.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641fe5d3d6800b577eb0f6.MigrateKVMAsync,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f641fe5d3d6800b577eb0f6.VmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642044d3d6800b577eb868,4.21,14,695
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642044d3d6800b577eb868.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642044d3d6800b577eb868.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642044d3d6800b577eb868.VmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642090d3d6800b577ebe02,4.29,22,30
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f6420b6d3d6800b577ec07d,4.29,14,738
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f6420b6d3d6800b577ec07d.BridgeType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f6420b6d3d6800b577ec07d.KeyValueInterpreter,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f6420b6d3d6800b577ec07d.MigrateKVMAsync,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f6420b6d3d6800b577ec07d.VmStats,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797,1.31,4,17
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.ClockDef,1.8,5,9
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.ClockDef.ClockOffset,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.ConsoleDef,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.CpuModeDef,2,5,8
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.CpuTuneDef,1.33,2,4
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.DevicesDef,2.33,8,14
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.DiskDef,1.66,17,48
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.DiskDef.deviceType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.DiskDef.diskBus,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.DiskDef.diskCacheMode,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.DiskDef.diskFmtType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.DiskDef.diskProtocol,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.DiskDef.diskType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.FeaturesDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.FilesystemDef,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.GraphicDef,3.5,6,7
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.GuestDef,1.75,7,14
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.GuestDef.bootOrder,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.GuestDef.guestType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.GuestResourceDef,1.67,5,10
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.InputDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.InterfaceDef,1.48,13,37
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.InterfaceDef.guestNetType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.InterfaceDef.hostNicType,n/a,n/a,0
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.InterfaceDef.nicModel,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.SerialDef,2,3,4
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.TermPolicy,1,1,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.VideoDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f64211ed3d6800b577ec797.VirtioSerialDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810,1.31,4,17
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.ClockDef,1.8,5,9
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.ClockDef.ClockOffset,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.ConsoleDef,2.5,4,5
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.CpuModeDef,2,5,8
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.CpuTuneDef,1.33,2,4
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.DevicesDef,2.33,8,14
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.DiskDef,1.66,17,48
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.DiskDef.deviceType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.DiskDef.diskBus,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.DiskDef.diskCacheMode,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.DiskDef.diskFmtType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.DiskDef.diskProtocol,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.DiskDef.diskType,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.FeaturesDef,1.5,2,3
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.FilesystemDef,1,1,2
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.GraphicDef,3.5,6,7
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.GuestDef,1.75,7,14
com.cloud.hypervisor.kvm.resource.cloudstack_old_5f642126d3d6800b577ec810.GuestDef.bootOrder,1,1,2
